contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
project_3472737_bot_1fbc613f42d33124c34fb98cc87650ea,test,Bot,26,1,1.0,1,1.0,26.0,26.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1796.957,1796.957,0.0,0.0,0.0,,,0.0,0.0,,71.878,14.492,167.984,0.754,60.14,,,0.0,0.0,
gitlab-crowdin-bot,test,Bot,292,1,1.0,1,1.0,292.0,292.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.183,13.183,0.0,0.0,0.0,,,0.0,0.0,,0.045,0.002,0.28,0.945,0.001,,,0.0,0.0,
project_250833_bot_836d914bb2e54d8af31290f600147a0c,test,Bot,170,1,1.0,1,1.0,170.0,170.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2165.133,2165.133,0.0,0.0,0.0,,,0.0,0.0,,12.811,5.74,18.429,0.63,11.986,,,0.0,0.0,
veloren-bot,test,Bot,241,3,4.0,1,0.25,60.25,8.5,108.558,0.692,56.25,80.333,105.0,45.347,0.221,40.0,10.478,3.0,13.941,0.615,10.5,2.0,2.0,0.816,0.188,0.5,85.536,1.815,113.698,0.4,136.714,8.803,7.723,7.728,0.481,12.147,9.004,6.855,8.242,0.494,13.233,7.216,5.397,7.189,0.524,12.533
veloren_collaboration_bot,test,Bot,149,3,3.0,1,0.333,49.667,6.0,76.501,0.595,66.5,49.667,4.0,80.835,0.631,70.5,8.765,3.0,14.303,0.648,10.0,2.333,3.0,1.155,0.19,1.0,109.768,2.776,198.858,0.637,96.686,18.968,9.181,23.652,0.598,18.692,14.659,8.598,19.588,0.598,11.994,6.245,1.452,14.162,0.785,2.136
project_10858056_bot_f969f72a7e15086827dc9d30b978faa2,test,Bot,56,1,1.0,1,1.0,56.0,56.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2098.991,2098.991,0.0,0.0,0.0,,,0.0,0.0,,38.163,14.008,56.628,0.635,38.023,,,0.0,0.0,
group_1996273_bot_cc390f2dcbab04de9a8637944d3a12ae,test,Bot,32,3,1.0,1,1.0,32.0,32.0,0.0,0.0,0.0,10.667,8.0,8.327,0.333,8.0,32.0,32.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2160.009,2160.009,0.0,0.0,0.0,,,0.0,0.0,,69.678,47.899,74.656,0.562,106.858,13.309,0.116,30.805,0.839,1.141
fdroid-bot,test,Bot,98,5,5.0,2,0.4,19.6,25.0,8.877,0.212,14.0,19.6,9.0,21.078,0.514,32.0,2.13,1.0,4.009,0.452,1.0,1.4,1.0,0.548,0.171,1.0,1.6,0.0,4.211,0.646,0.441,4.993,2.199,6.408,0.606,5.266,3.075,0.474,5.454,0.748,2.719,5.043,1.971,6.774,0.638,5.678
project_15462818_bot_3664b606fd994f2f0d7d6e1051c0505e,test,Bot,12,2,1.0,1,1.0,12.0,12.0,0.0,0.0,0.0,6.0,6.0,7.071,0.417,5.0,12.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,948.066,948.066,0.0,0.0,0.0,,,0.0,0.0,,86.188,91.788,73.099,0.454,105.497,0.095,0.095,0.0,0.0,0.0
kicad-bot,test,Bot,117,4,3.0,3,1.0,39.0,18.0,51.798,0.553,48.5,29.25,21.0,31.383,0.481,22.75,3.9,2.0,5.523,0.57,2.75,1.333,1.0,0.577,0.167,0.5,49.494,0.62,92.736,0.555,75.468,23.273,12.789,24.027,0.53,29.104,18.618,9.668,25.864,0.624,22.595,19.579,9.239,27.911,0.631,24.276
