contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
idealbot,test,Bot,14,5,4,2,0.5,3.5,3.0,2.646,0.357,3.0,2.8,3.0,1.304,0.229,2.0,2.8,3.0,1.304,0.229,2.0,2.25,2.5,0.957,0.194,1.25,0.523,0.003,1.164,0.747,0.003,534.019,310.634,653.732,0.523,408.616,164.515,0.002,415.428,0.852,22.218,194.426,0.004,447.994,0.826,152.751
alcadesign,test,Human,13,7,3,3,1.0,4.333,2.0,4.933,0.462,4.5,1.857,1.0,1.464,0.33,1.5,4.333,2.0,4.933,0.462,4.5,2.333,2.0,1.528,0.286,1.5,16.923,0.008,29.304,0.5,25.38,297.67,297.67,201.555,0.239,142.521,53.842,0.587,129.456,0.83,19.23,59.862,0.158,142.209,0.828,1.787
cf-buildpacks-eng,test,Bot,241,7,17,1,0.059,14.176,4.0,22.476,0.624,9.0,34.429,25.0,34.664,0.492,41.5,1.354,1.0,0.805,0.217,0.0,2.294,3.0,1.263,0.284,2.0,0.146,0.0,1.092,0.877,0.0,4.106,0.068,7.079,0.763,3.448,3.136,0.059,6.35,0.805,1.67,5.013,1.604,7.528,0.691,7.941
appveyorbot,test,Bot,300,1,38,19,0.5,7.895,6.0,7.675,0.469,8.0,300.0,300.0,0.0,0.0,0.0,1.622,1.0,1.425,0.313,1.0,1.0,1.0,0.0,0.0,0.0,0.69,0.0,3.106,0.746,0.207,2.202,0.352,4.059,0.728,1.856,1.782,0.292,3.743,0.76,0.976,,,0.0,0.0,
openshift-cherrypick-robot,test,Bot,300,4,67,5,0.075,4.478,2.0,8.511,0.572,3.5,75.0,84.5,52.211,0.315,33.5,1.463,1.0,0.668,0.199,1.0,1.463,1.0,0.502,0.17,1.0,0.001,0.0,0.01,0.889,0.0,0.156,0.003,0.571,0.878,0.065,0.107,0.001,0.476,0.904,0.013,0.098,0.001,0.496,0.927,0.009
svc-cli-bot,test,Bot,212,7,40,3,0.075,5.3,4.0,8.122,0.501,2.25,30.286,29.0,17.182,0.296,28.0,2.465,2.0,1.938,0.332,1.0,2.575,2.0,1.174,0.244,2.0,0.11,0.0,0.483,0.897,0.001,0.732,0.011,2.709,0.903,0.232,0.34,0.001,1.762,0.924,0.035,0.281,0.001,1.533,0.927,0.014
candlepin-bot,test,Bot,24,2,2,1,0.5,12.0,12.0,5.657,0.167,4.0,12.0,12.0,5.657,0.167,4.0,1.5,1.5,0.516,0.167,1.0,1.5,1.5,0.707,0.167,0.5,0.0,0.0,0.0,0.0,0.0,71.679,5.179,114.221,0.718,124.542,46.747,0.434,97.574,0.789,20.75,70.143,0.0,115.16,0.669,125.415
delphix-devops-bot,test,Bot,300,3,34,1,0.029,8.824,6.0,4.706,0.255,6.0,100.0,132.0,57.166,0.222,50.0,1.0,1.0,0.0,0.0,0.0,2.176,2.0,0.387,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.0,2.818,0.949,0.0,0.402,0.0,2.818,0.949,0.0,0.191,0.0,0.906,0.904,0.0
tramline-github[bot],test,Bot,158,5,5,5,1.0,31.6,9.0,50.227,0.62,9.0,31.6,20.0,24.704,0.377,39.0,6.583,2.0,9.991,0.602,3.25,2.4,2.0,0.548,0.1,1.0,76.373,0.011,201.289,0.846,25.729,15.263,14.581,13.073,0.446,11.282,13.911,0.197,20.429,0.679,23.999,12.849,0.086,19.924,0.7,23.998
kharanenka,test,Human,13,4,4,2,0.5,3.25,3.0,2.217,0.327,2.75,3.25,3.0,2.217,0.327,2.75,2.167,2.0,0.753,0.167,0.75,1.75,2.0,0.5,0.107,0.25,0.004,0.001,0.007,0.61,0.002,288.016,120.434,432.103,0.653,287.916,120.009,0.008,299.817,0.855,30.154,130.918,0.014,311.943,0.842,60.247
