contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
rgerum,test,Human,299,2,3,1,0.333,99.667,12.0,156.193,0.609,136.5,149.5,149.5,210.011,0.497,148.5,13.591,2.5,21.766,0.7,8.25,1.333,1.0,0.577,0.167,0.5,6.704,0.054,14.843,0.705,2.64,3.957,1.931,4.597,0.599,5.936,0.774,0.047,2.476,0.881,0.162,4.95,4.95,5.323,0.38,3.764
hugtalbot,test,Human,176,14,38,6,0.158,4.632,2.0,12.317,0.644,1.0,12.571,14.0,9.959,0.429,16.25,1.63,1.0,1.592,0.326,1.0,1.974,2.0,1.241,0.275,1.0,3.678,0.0,19.162,0.85,0.002,8.179,0.064,24.691,0.865,3.242,7.271,0.059,23.834,0.887,2.161,8.049,0.317,23.673,0.854,3.822
jasoncabot,test,Human,101,5,3,1,0.333,33.667,3.0,53.116,0.607,46.0,20.2,6.0,32.337,0.661,15.0,11.222,2.0,15.197,0.631,19.0,2.333,1.0,2.309,0.381,2.0,168.896,0.632,353.495,0.646,117.458,40.668,7.745,57.394,0.663,63.98,18.454,0.085,77.674,0.917,4.043,6.955,0.04,25.475,0.922,0.144
sqrbot,test,Bot,125,4,48,6,0.125,2.604,2.0,0.984,0.179,1.0,31.25,29.5,25.474,0.374,40.25,2.604,2.0,0.984,0.179,1.0,2.354,2.0,0.565,0.114,1.0,0.002,0.001,0.005,0.557,0.001,40.311,14.762,50.875,0.625,58.239,15.28,0.001,36.79,0.853,6.032,16.473,0.003,38.227,0.845,10.497
mikhailkasimov,test,Human,297,3,3,2,0.667,99.0,3.0,168.012,0.655,146.0,99.0,3.0,168.012,0.655,146.0,33.0,18.0,35.732,0.553,58.0,1.667,2.0,0.577,0.133,0.5,22.024,14.136,27.442,0.312,35.269,1.355,0.073,3.619,0.837,0.069,0.706,0.121,2.402,0.822,0.242,0.896,0.111,1.621,0.73,0.683
bors-servo,test,Bot,300,2,3,2,0.667,100.0,6.0,167.162,0.649,146.0,150.0,150.0,202.233,0.477,143.0,37.5,2.0,55.26,0.666,60.75,1.0,1.0,0.0,0.0,0.0,137.057,54.768,202.711,0.629,159.657,9.448,3.716,17.473,0.687,4.062,3.888,1.388,8.762,0.701,3.195,9.448,3.716,17.473,0.687,4.062
yajra,test,Human,248,13,13,1,0.077,19.077,15.0,15.489,0.402,17.0,19.077,16.0,19.805,0.435,13.0,4.593,4.0,3.814,0.437,5.0,7.231,7.0,3.004,0.205,1.0,4.191,0.058,13.444,0.865,0.46,18.33,0.288,43.994,0.847,9.855,4.849,0.022,22.259,0.943,0.141,5.268,0.013,23.984,0.944,0.122
geoperez,test,Human,145,6,9,1,0.111,16.111,4.0,26.863,0.653,2.0,24.167,12.5,37.701,0.624,12.0,2.9,2.0,2.589,0.36,1.75,3.333,3.0,1.0,0.156,1.0,17.27,0.009,38.96,0.817,0.019,22.299,1.714,38.354,0.755,28.145,13.584,0.018,31.637,0.854,1.715,10.831,0.007,25.694,0.855,0.091
fozzie-bot,test,Bot,61,1,1,1,1.0,61.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1940.224,1940.224,0.0,0.0,0.0,,,0.0,0.0,,32.337,0.057,83.245,0.852,8.896,,,0.0,0.0,
takaishi,test,Human,217,13,10,3,0.3,21.7,4.5,55.712,0.793,5.25,16.692,7.0,17.24,0.537,31.0,8.68,4.0,10.934,0.591,10.0,3.6,3.0,3.373,0.433,3.75,49.978,0.094,109.958,0.755,23.086,37.063,16.271,53.92,0.652,52.995,9.903,0.021,30.251,0.896,0.651,10.111,0.011,31.013,0.897,0.437
