contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
angular-automatic-lock-bot[bot],train,Bot,23.973,0.695,7.33,0.001,11.207,0.005,0.479,0.003,0.001,0.003,0.0,0.945,1.19,0.0,5.229,0.0,0.958,0.883,0.0,4.523,300,82.0,0.416,60.0,75.0,51.02,33.0,0.11,150.0,150.0,46.669,11.0,0.5,8.108,4.0,7.688,1,2,0.0,0.089,1.8,2.0,0.447,0.2
gitguardian[bot],train,Bot,0.22,0.541,0.235,0.147,0.289,0.0,0.558,0.006,0.0,0.034,,0.0,,,0.0,0.219,0.547,0.227,0.145,0.284,299,0.0,0.262,1.451,1.0,1.102,0.0,0.0,299.0,299.0,0.0,0.0,0.051,1.057,1.0,0.246,201,1,0.0,0.0,1.0,1.0,0.0,0.976
request-info[bot],train,Bot,16.268,0.568,14.387,7.71,18.402,0.0,0.682,0.937,0.0,3.927,16.698,0.513,14.497,9.471,18.658,15.951,0.603,12.552,6.902,17.341,161,4.0,0.548,4.879,2.0,5.814,37.5,0.233,80.5,80.5,53.033,0.0,0.159,1.22,1.0,0.724,20,2,0.0,0.095,1.121,1.0,0.331,0.606
rails-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,707.611,707.611,0.0,54.244,0.473,35.284,25.119,31.443,35.472,0.592,25.272,10.017,29.491,29,0.0,0.0,29.0,29.0,0.0,5.5,0.19,14.5,14.5,7.778,0.0,0.0,29.0,29.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
spatie-bot,train,Bot,47.995,0.69,23.719,0.004,33.427,0.0,0.8,2.892,0.0,14.221,23.987,0.774,15.999,0.004,29.185,23.997,0.723,20.81,0.004,31.773,106,1.0,0.541,2.865,1.0,6.705,42.0,0.528,35.333,18.0,44.602,0.0,0.189,1.277,1.0,0.801,1,3,0.0,0.129,1.189,1.0,0.397,0.027
arturt,train,Human,20.343,0.809,28.631,0.755,58.545,1.961,0.782,14.004,0.026,36.266,2.336,0.879,12.338,0.109,34.493,0.808,0.898,10.892,0.135,33.97,198,33.0,0.657,19.8,1.0,27.9,16.25,0.529,16.5,12.0,20.138,5.5,0.494,3.882,2.0,4.053,6,12,4.75,0.477,3.5,1.0,3.472,0.6
matts-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,1733.219,1733.219,0.0,82.893,0.628,62.825,35.877,85.292,124.313,0.737,133.325,0.807,224.609,14,0.0,0.0,14.0,14.0,0.0,2.0,0.143,7.0,7.0,2.828,0.0,0.0,14.0,14.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
hoishin,train,Human,0.544,0.851,3.226,0.081,7.562,0.24,0.884,3.998,0.011,14.245,0.177,0.915,1.578,0.048,5.463,0.192,0.909,1.293,0.054,4.56,222,31.0,0.699,31.714,3.0,53.1,31.0,0.675,17.077,2.0,25.513,3.0,0.636,5.55,2.0,10.52,3,13,3.5,0.423,3.571,2.0,3.155,0.429
davidism,train,Human,15.966,0.793,10.267,0.149,20.622,0.029,0.866,2.479,0.0,10.348,0.784,0.874,5.804,0.045,15.989,0.703,0.868,5.694,0.06,15.193,185,1.0,0.714,5.286,1.0,13.819,17.5,0.563,12.333,5.0,14.211,1.0,0.451,2.229,1.0,3.657,26,15,0.0,0.397,1.8,1.0,2.247,0.743
johnsoncodehk,train,Human,1.797,0.816,3.621,0.339,8.526,0.707,0.701,1.131,0.0,2.859,0.538,0.883,1.789,0.072,6.252,0.571,0.869,1.497,0.098,5.13,262,6.0,0.718,12.476,3.0,23.069,11.5,0.72,17.467,6.0,40.445,3.0,0.512,3.157,1.0,3.782,12,15,1.0,0.45,2.286,1.0,2.533,0.571
gatsbot[bot],train,Bot,283.694,0.5,283.894,283.894,401.204,131.92,0.667,87.949,0.002,152.328,24.398,0.841,75.603,0.002,175.49,0.002,0.883,48.92,0.002,143.649,18,7.0,0.389,9.0,9.0,9.899,0.0,0.0,9.0,9.0,0.0,6.0,0.444,6.0,2.0,6.928,1,2,0.0,0.0,2.0,2.0,0.0,0.5
cdepillabout,train,Human,67.04,0.703,38.855,6.938,59.14,0.358,0.85,6.888,0.0,26.453,13.628,0.835,21.997,0.174,48.403,5.246,0.852,18.043,0.21,43.248,118,6.0,0.461,5.364,3.5,4.756,7.75,0.565,7.375,4.0,8.943,1.5,0.465,2.511,1.0,2.804,10,16,3.0,0.437,3.091,2.0,2.706,0.455
cow-bot,train,Bot,19.038,0.807,31.569,4.67,84.263,25.777,0.749,40.974,0.773,103.095,2.889,0.889,13.273,0.48,50.01,1.686,0.877,8.298,0.464,32.997,207,27.0,0.622,34.5,19.0,50.588,57.5,0.278,103.5,103.5,81.317,8.0,0.647,8.625,3.0,13.194,1,2,0.75,0.133,1.667,2.0,0.516,0.167
koreno,train,Human,201.141,0.727,181.994,27.714,319.327,1.26,0.708,20.849,0.0,60.645,161.505,0.771,149.93,13.699,294.409,139.651,0.801,115.402,2.078,250.096,17,2.75,0.304,2.833,3.0,1.722,1.0,0.212,3.4,4.0,1.517,1.0,0.3,1.7,1.0,1.252,3,5,2.75,0.31,2.333,2.0,1.506,0.5
geekcomputers,train,Bot,5.072,0.498,5.092,5.092,7.172,798.827,0.239,720.707,564.465,810.206,35.672,0.499,35.731,35.731,50.447,48.678,0.657,29.355,9.891,37.51,75,36.5,0.487,37.5,37.5,51.619,34.5,0.46,37.5,37.5,48.79,28.0,0.498,25.0,17.0,28.844,1,2,0.5,0.167,1.5,1.5,0.707,0.5
sebmarkbage,train,Human,1.079,0.865,2.751,0.229,9.488,1.175,0.75,3.602,0.0,9.445,1.138,0.869,3.088,0.171,9.507,1.214,0.86,3.093,0.166,8.973,187,48.0,0.342,62.333,89.0,53.267,14.0,0.416,23.375,23.5,20.438,1.0,0.348,2.055,1.0,1.493,3,8,2.5,0.37,3.0,2.0,2.646,1.0
bernardo-mg,train,Human,0.892,0.874,3.976,0.078,11.969,0.174,0.817,1.376,0.0,4.853,0.139,0.928,1.964,0.033,8.489,0.168,0.921,1.612,0.056,7.087,231,40.5,0.533,33.0,22.0,36.579,20.0,0.547,33.0,27.0,42.383,2.0,0.553,3.3,1.0,4.499,2,7,2.5,0.246,4.143,5.0,2.193,0.286
pirate-bot,train,Bot,13.943,0.704,10.538,2.09,17.473,0.017,0.767,1.952,0.0,6.821,9.157,0.792,8.762,0.406,19.062,2.11,0.843,4.658,0.167,12.069,165,6.0,0.639,9.706,4.0,18.285,28.0,0.684,33.0,4.0,54.452,1.0,0.552,2.661,1.0,5.992,1,5,1.0,0.286,1.765,1.0,1.091,0.059
sytac-bot,train,Bot,49.421,0.847,225.204,0.87,561.627,0.0,0.0,0.001,0.001,0.0,0.421,0.932,100.091,0.001,378.339,0.421,0.932,100.091,0.001,378.339,19,0.0,0.047,2.111,2.0,0.333,4.0,0.281,6.333,9.0,4.619,0.0,0.047,2.111,2.0,0.333,1,3,0.0,0.047,2.111,2.0,0.333,0.111
sambego,train,Human,82.866,0.45,127.337,91.71,117.885,24.305,0.688,30.544,0.001,71.555,53.906,0.778,50.575,0.006,95.272,55.112,0.76,53.645,0.022,95.113,31,2.0,0.618,4.429,1.0,7.39,7.0,0.479,4.429,1.0,4.429,3.5,0.387,2.818,2.0,2.183,4,7,1.5,0.262,1.714,1.0,0.951,0.571
cheminfo-bot,train,Bot,10.452,0.435,7.915,6.439,6.118,0.681,0.767,11.466,0.046,28.551,0.174,0.865,1.251,0.01,3.249,8.719,0.734,5.426,0.065,8.539,221,6.0,0.509,12.278,6.0,16.417,1.0,0.357,44.2,26.0,42.417,4.0,0.431,3.565,3.0,3.006,2,5,1.0,0.164,4.111,5.0,1.53,0.111
terinjokes,train,Human,21.329,0.671,18.911,6.353,27.242,0.0,0.649,1.099,0.0,4.287,14.692,0.727,11.424,2.223,19.092,16.209,0.751,13.265,2.381,23.717,164,0.0,0.471,2.0,1.0,4.833,9.0,0.554,10.933,6.0,13.807,0.0,0.305,1.505,1.0,1.708,69,15,0.0,0.224,1.317,1.0,1.266,0.841
nacho-bot,train,Bot,10.374,0.652,7.727,3.529,12.053,0.174,0.919,10.292,0.001,57.036,0.011,0.911,0.876,0.001,2.877,2.056,0.826,3.971,0.002,8.997,294,71.0,0.333,58.8,74.0,40.752,48.0,0.471,58.8,55.0,60.665,2.0,0.603,4.523,2.0,7.836,1,5,2.0,0.267,2.4,3.0,1.342,0.2
drapegnik,train,Human,464.109,0.543,307.82,229.72,359.005,0.827,0.662,38.058,0.262,84.493,46.851,0.811,94.707,0.827,214.628,41.62,0.844,74.819,0.238,193.375,20,2.0,0.44,4.0,2.0,4.062,1.0,0.311,2.222,2.0,1.563,2.0,0.44,4.0,2.0,4.062,3,9,1.0,0.367,2.4,2.0,2.074,0.6
tdewolff,train,Human,30.365,0.76,29.827,1.512,51.064,0.057,0.801,9.767,0.0,32.946,14.145,0.825,18.65,0.144,41.535,11.967,0.84,15.971,0.14,37.602,133,11.0,0.688,13.3,3.0,21.484,15.5,0.542,13.3,6.5,14.622,2.0,0.473,2.463,1.0,3.161,6,10,2.75,0.4,2.8,2.0,2.251,0.6
ovh-cds,train,Bot,12.416,0.829,23.617,0.406,55.036,21.673,0.819,44.301,0.001,93.706,0.413,0.905,14.325,0.128,45.936,1.058,0.88,6.115,0.373,21.614,297,66.25,0.656,74.25,15.0,125.943,65.25,0.659,74.25,14.0,127.254,11.5,0.65,11.0,2.0,17.447,1,4,0.75,0.25,2.25,2.0,1.258,0.25
lithomas1,train,Human,27.546,0.786,28.17,4.692,61.668,0.0,0.873,4.671,0.0,28.698,22.478,0.805,25.769,0.684,59.151,17.522,0.832,21.039,0.217,52.92,98,6.0,0.573,5.765,1.0,7.233,9.5,0.506,8.909,5.0,10.064,0.5,0.304,1.556,1.0,1.457,14,11,2.0,0.353,2.118,1.0,1.536,0.824
babel-bot,train,Bot,8.245,0.498,7.874,7.349,8.027,319.844,0.655,306.536,63.092,521.696,11.156,0.743,10.61,3.237,18.792,15.563,0.712,13.132,3.749,22.136,168,79.0,0.47,84.0,84.0,111.723,27.0,0.531,33.6,21.0,39.298,29.5,0.594,24.0,13.0,30.854,1,5,0.5,0.071,3.5,3.5,0.707,0.5
googlemaps-bot,train,Bot,3.398,0.8,9.424,1.939,25.013,0.038,0.921,0.324,0.008,1.705,0.296,0.938,4.87,0.029,20.452,0.743,0.924,3.282,0.027,15.126,206,7.0,0.5,8.583,5.0,9.222,16.0,0.677,22.889,4.0,38.116,2.0,0.404,2.943,2.0,2.467,1,9,1.25,0.365,2.083,1.0,1.692,0.042
codejanovic,train,Human,478.411,0.497,289.919,233.598,282.392,0.0,0.0,0.055,0.0,0.155,191.417,0.719,183.121,18.679,341.291,475.322,0.559,253.734,135.895,280.763,9,0.0,0.097,1.125,1.0,0.354,1.25,0.417,2.25,1.0,2.5,0.0,0.097,1.125,1.0,0.354,7,4,0.0,0.097,1.125,1.0,0.354,0.875
inputapp-bot,train,Bot,,0.0,,,0.0,0.0,0.0,2161.182,2161.182,0.0,,0.0,,,0.0,24.541,0.734,28.437,8.101,68.451,77,0.0,0.0,77.0,77.0,0.0,0.0,0.0,77.0,77.0,0.0,0.0,0.0,77.0,77.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
grbot,train,Human,88.826,0.796,115.668,4.906,264.434,1.724,0.719,13.798,0.255,31.493,16.232,0.824,139.207,0.286,330.255,4.968,0.909,34.676,0.589,139.809,35,4.5,0.538,5.833,3.5,7.25,8.25,0.65,8.75,1.5,14.841,3.75,0.437,3.5,2.5,3.064,3,4,0.75,0.241,1.5,1.0,0.837,0.5
larsonjj,train,Human,100.382,0.698,133.267,65.147,222.279,0.0,0.287,3.325,0.0,9.57,100.753,0.675,184.578,74.109,307.545,0.381,0.941,23.133,0.144,101.361,72,0.0,0.77,6.545,1.0,18.392,27.0,0.375,36.0,36.0,38.184,0.0,0.737,5.538,1.0,13.884,9,2,0.0,0.0,1.0,1.0,0.0,0.818
arduinobot,train,Bot,0.001,0.949,16.35,0.001,71.761,0.0,0.453,32.622,0.0,206.198,12.814,0.83,26.561,0.349,61.385,0.987,0.903,41.123,0.001,123.669,53,0.0,0.075,10.6,10.0,1.949,2.5,0.047,26.5,26.5,3.536,0.0,0.163,1.205,1.0,0.954,1,2,0.0,0.089,1.8,2.0,0.447,0.2
jeffbski,train,Human,35.765,0.333,47.689,71.235,41.17,0.0,0.125,0.001,0.001,0.0,0.076,0.818,13.006,0.001,28.899,0.076,0.818,13.006,0.001,28.899,12,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2,3,0.0,0.0,3.0,3.0,0.0,0.5
ben181231,train,Human,423.46,0.679,329.006,76.646,505.584,0.0,0.0,0.457,0.0,1.21,138.051,0.799,227.588,0.491,462.822,60.76,0.838,164.77,1.374,381.595,13,0.0,0.396,1.857,1.0,2.268,1.0,0.372,2.167,1.5,1.941,0.0,0.396,1.857,1.0,2.268,7,6,0.0,0.312,1.571,1.0,1.512,1.0
size-report[bot],train,Bot,,0.0,,,0.0,0.0,0.0,2190.474,2190.474,0.0,,0.0,,,0.0,8.363,0.651,9.361,4.409,14.926,235,0.0,0.0,235.0,235.0,0.0,0.0,0.0,235.0,235.0,0.0,0.0,0.0,235.0,235.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
flying-sheep,train,Human,0.045,0.939,3.553,0.0,17.696,0.0,0.918,2.227,0.0,17.139,0.146,0.946,4.637,0.023,20.195,0.037,0.963,3.054,0.006,17.846,121,0.0,0.505,3.667,2.0,5.872,8.25,0.639,15.125,5.5,24.902,0.0,0.429,1.891,1.0,3.381,11,8,0.0,0.259,1.455,1.0,0.971,0.333
nextest-bot,train,Bot,0.392,0.856,2.828,0.026,6.695,0.001,0.934,0.077,0.0,0.438,0.233,0.911,1.68,0.008,5.262,0.039,0.921,1.445,0.007,4.913,190,20.75,0.476,23.75,17.0,23.554,11.0,0.301,38.0,41.0,23.822,1.0,0.345,2.0,2.0,1.67,2,5,3.0,0.288,2.875,3.5,1.642,0.25
basetenbot,train,Bot,,0.0,,,0.0,0.0,0.0,2191.878,2191.878,0.0,4.634,0.888,21.24,0.009,65.904,3.925,0.889,20.875,0.009,65.321,106,0.0,0.0,106.0,106.0,0.0,20.0,0.208,26.5,27.5,12.234,0.0,0.0,106.0,106.0,0.0,1,4,0.0,0.0,4.0,4.0,0.0,1.0
aherbert,train,Human,88.024,0.717,56.65,2.66,88.112,0.657,0.712,10.906,0.0,31.897,36.866,0.802,50.124,0.648,100.143,33.901,0.794,36.386,1.143,71.188,57,2.75,0.506,3.167,1.0,3.792,3.0,0.717,8.143,1.0,16.355,1.0,0.361,1.839,1.0,1.791,4,7,0.0,0.119,1.167,1.0,0.383,0.222
atomist[bot],train,Bot,,0.0,,,0.0,0.0,0.0,1494.169,1494.169,0.0,,0.0,,,0.0,1.356,0.849,4.997,0.528,15.298,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
nextcloud-android-bot,train,Bot,7.788,0.507,8.448,5.141,9.422,0.998,0.86,4.805,0.001,15.584,8.353,0.634,6.672,3.427,10.129,6.365,0.718,5.278,1.25,8.634,248,39.5,0.388,41.333,38.0,32.494,37.25,0.668,41.333,8.5,65.969,2.0,0.361,2.505,2.0,1.997,3,6,1.75,0.306,2.0,1.5,1.265,0.5
porter-internal[bot],train,Bot,0.0,0.0,0.008,0.008,0.0,841.765,0.5,841.766,841.766,1190.435,0.004,0.9,153.049,0.001,507.579,0.004,0.9,153.049,0.001,507.579,12,3.0,0.25,6.0,6.0,4.243,0.0,0.0,4.0,4.0,0.0,3.0,0.25,6.0,6.0,4.243,1,3,0.0,0.0,3.0,3.0,0.0,0.5
cpcloud,train,Human,0.168,0.897,1.415,0.037,4.395,0.214,0.787,0.478,0.0,1.819,0.199,0.903,0.979,0.037,3.501,0.231,0.895,0.922,0.053,3.328,215,75.25,0.629,35.833,3.5,51.65,14.75,0.399,26.875,21.0,24.567,1.0,0.359,2.048,1.0,1.666,5,8,0.75,0.423,2.167,1.0,2.401,0.833
cve-team,train,Bot,,0.0,,,0.0,0.0,0.0,164.998,164.998,0.0,0.997,0.509,0.507,0.018,0.516,0.997,0.461,0.552,0.993,0.509,300,0.0,0.0,300.0,300.0,0.0,13.0,0.043,150.0,150.0,18.385,0.0,0.0,300.0,300.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
stranger6667,train,Human,3.766,0.717,2.804,0.622,4.387,0.211,0.731,1.438,0.0,4.526,0.875,0.797,1.196,0.156,2.553,0.891,0.801,1.371,0.169,3.005,200,2.75,0.743,7.692,1.5,18.082,19.0,0.481,15.385,9.0,15.425,2.0,0.561,3.077,1.0,4.826,15,13,1.75,0.426,2.346,1.0,2.365,0.577
netdata-community-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1755.383,1755.383,0.0,63.237,0.531,162.333,91.939,208.54,98.47,0.59,135.029,72.704,178.762,14,0.0,0.0,14.0,14.0,0.0,3.0,0.214,7.0,7.0,4.243,0.0,0.0,14.0,14.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
grommetux,train,Bot,1.404,0.774,29.795,1.593,59.091,107.168,0.604,146.392,0.557,264.341,,0.0,,,0.0,42.236,0.701,26.647,3.171,40.119,66,28.5,0.576,22.0,7.0,31.321,0.0,0.0,66.0,66.0,0.0,5.0,0.636,6.6,2.0,10.08,1,1,0.0,0.0,1.0,1.0,0.0,0.333
darkademic,train,Human,,0.0,,,0.0,0.0,0.0,2088.377,2088.377,0.0,3.935,0.782,3.752,0.178,7.213,18.575,0.735,11.732,1.797,21.794,179,0.0,0.0,179.0,179.0,0.0,73.5,0.411,89.5,89.5,103.945,0.0,0.0,179.0,179.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
bnmnetp,train,Human,16.472,0.656,12.492,4.415,19.437,0.24,0.665,23.828,0.008,53.143,4.946,0.762,7.561,1.123,15.064,0.005,0.957,1.838,0.002,8.513,93,38.5,0.552,31.0,12.0,41.869,22.25,0.696,23.25,2.5,42.508,9.0,0.71,18.6,2.0,33.975,2,4,1.5,0.333,2.0,1.0,1.732,0.667
tldahlgren,train,Human,0.631,0.892,2.306,0.097,8.835,0.532,0.927,5.79,0.0,39.505,0.32,0.952,3.319,0.07,24.504,0.349,0.944,2.984,0.081,21.816,220,73.5,0.445,73.333,61.0,74.272,36.0,0.576,24.444,13.0,28.0,3.0,0.449,2.716,1.0,2.717,3,9,4.0,0.444,4.0,2.0,4.359,1.0
deps-dropseed[bot],train,Bot,167.868,0.602,65.387,0.195,77.416,0.001,0.208,0.0,0.0,0.001,95.996,0.715,46.863,0.06,72.945,143.959,0.688,51.25,0.068,73.526,38,11.5,0.382,9.5,8.0,7.895,8.5,0.298,12.667,7.0,9.815,0.75,0.154,1.267,1.0,0.45,1,3,0.5,0.25,1.5,1.0,1.0,0.25
nicolaasuni,train,Human,0.055,0.95,9.782,0.008,42.846,0.0,0.865,0.028,0.0,0.134,0.096,0.946,10.121,0.011,43.807,0.042,0.966,6.202,0.007,34.354,281,7.75,0.494,4.532,2.0,4.482,27.0,0.66,25.545,5.0,38.148,1.0,0.251,1.579,1.0,1.082,2,11,2.0,0.31,2.048,2.0,1.336,0.032
raspberrypitranslationsbot,train,Bot,,0.0,,,0.0,0.0,0.0,2032.138,2032.138,0.0,,0.0,,,0.0,12.042,0.897,92.37,1.802,311.616,23,0.0,0.0,23.0,23.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,23.0,23.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
malirobot,train,Human,,0.0,,,0.0,0.0,0.0,0.083,0.083,0.0,0.002,0.123,0.008,0.008,0.003,0.016,0.488,0.021,0.009,0.026,5,0.0,0.0,5.0,5.0,0.0,1.0,0.267,1.667,1.0,1.155,0.0,0.0,5.0,5.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
zama-bot,train,Bot,70.535,0.214,175.895,158.238,75.299,265.727,0.607,154.613,43.285,226.6,148.37,0.594,63.215,0.001,95.634,149.366,0.573,89.069,29.972,118.904,25,1.5,0.06,12.5,12.5,2.121,1.0,0.336,5.0,4.0,4.0,2.5,0.331,3.571,3.0,2.37,1,5,0.5,0.071,3.5,3.5,0.707,0.5
basilenouvellet,train,Human,80.992,0.638,85.062,41.681,134.197,0.0,0.0,0.004,0.0,0.017,,0.0,,,0.0,81.463,0.655,81.015,40.358,132.108,22,0.0,0.043,1.048,1.0,0.218,0.0,0.0,22.0,22.0,0.0,0.0,0.043,1.048,1.0,0.218,20,1,0.0,0.0,1.0,1.0,0.0,0.952
alfresco-build,train,Bot,0.101,0.926,1.407,0.011,5.332,0.001,0.873,0.069,0.0,0.524,0.104,0.918,0.786,0.02,3.087,0.1,0.935,1.067,0.013,4.583,185,8.5,0.392,11.562,10.5,8.656,43.5,0.45,30.833,13.0,30.818,1.0,0.212,1.381,1.0,0.68,2,6,2.0,0.351,2.25,1.5,1.571,0.125
kukks,train,Human,23.956,0.725,19.633,1.664,31.907,0.047,0.84,6.281,0.0,28.932,21.004,0.784,15.656,1.012,31.203,17.195,0.82,14.147,0.683,31.763,137,3.0,0.661,6.524,2.0,11.003,10.0,0.579,12.455,8.0,16.507,1.0,0.362,1.827,1.0,1.655,9,11,1.0,0.351,2.095,2.0,1.64,0.429
cozy-bot,train,Bot,4.777,0.774,10.548,1.828,22.035,0.322,0.847,3.196,0.011,8.782,0.431,0.881,1.741,0.001,6.841,0.51,0.875,3.151,0.001,11.813,255,2.0,0.755,15.0,3.0,36.118,80.25,0.364,63.75,66.0,50.526,3.0,0.443,4.322,3.0,4.154,2,4,1.0,0.279,1.588,1.0,1.004,0.118
melissawm,train,Human,1.112,0.921,4.959,0.108,28.784,0.064,0.906,0.79,0.0,5.613,0.788,0.934,4.511,0.069,26.992,0.69,0.931,3.657,0.078,23.409,226,6.0,0.647,7.533,2.5,12.503,18.0,0.606,17.385,10.0,23.768,1.0,0.264,1.569,1.0,1.015,15,13,1.75,0.333,2.133,2.0,1.479,0.5
skia-flutter-autoroll,train,Bot,0.103,0.967,4.361,0.001,28.195,0.325,0.822,1.752,0.0,7.238,0.311,0.964,3.373,0.001,24.355,0.985,0.921,2.759,0.111,19.242,221,57.5,0.26,110.5,110.5,81.317,29.25,0.388,55.25,35.5,51.829,1.0,0.434,2.21,1.0,3.023,2,4,0.0,0.0,2.0,2.0,0.0,1.0
vc-ci,train,Bot,0.273,0.901,2.497,0.017,8.447,0.001,0.848,0.319,0.0,1.419,0.063,0.937,1.602,0.002,7.104,0.137,0.927,1.308,0.009,5.887,264,7.75,0.666,18.857,6.0,37.355,25.0,0.619,37.714,20.0,56.228,1.0,0.442,2.146,1.0,2.718,1,7,1.0,0.224,3.143,3.0,1.351,0.071
reconbot,train,Human,46.106,0.812,51.811,4.397,116.429,0.928,0.725,8.45,0.0,23.459,0.215,0.942,15.101,0.036,65.808,0.305,0.936,13.008,0.042,57.847,136,2.0,0.699,5.913,1.0,12.15,7.5,0.495,9.067,8.0,9.61,2.75,0.643,4.533,1.0,8.106,15,15,2.0,0.44,2.261,1.0,2.508,0.652
nabijaczleweli,train,Human,10.081,0.844,11.17,0.31,30.276,0.034,0.816,0.931,0.0,3.789,1.501,0.853,5.635,0.145,14.244,1.493,0.879,7.254,0.145,24.033,263,3.25,0.592,5.058,2.0,7.403,15.5,0.593,18.786,10.5,26.154,1.0,0.318,1.665,1.0,1.452,30,14,2.0,0.339,2.115,2.0,1.451,0.577
thewca-bot,train,Bot,47.681,0.745,33.084,0.001,52.894,0.0,0.907,8.039,0.0,41.014,10.278,0.816,22.846,0.001,49.318,10.87,0.815,24.391,0.001,52.319,89,18.5,0.208,44.5,44.5,26.163,5.5,0.082,29.667,26.0,6.351,1.0,0.27,1.679,1.0,0.936,2,3,0.5,0.167,1.5,1.5,0.707,1.0
joomla-translation-bot,train,Bot,17.349,0.37,11.916,11.91,9.345,72.359,0.566,141.414,72.07,309.681,14.938,0.775,7.437,0.183,14.295,1.232,0.851,4.575,0.034,11.339,300,146.0,0.487,150.0,150.0,206.475,59.5,0.264,100.0,63.0,67.58,24.0,0.696,33.333,22.0,62.556,1,3,1.0,0.25,2.0,2.0,1.414,0.5
leosoto,train,Human,,0.0,,,0.0,0.0,0.0,3.059,3.059,0.0,0.099,0.762,0.607,0.041,1.252,0.07,0.821,0.437,0.024,1.063,8,0.0,0.0,8.0,8.0,0.0,1.0,0.25,1.6,1.0,0.894,0.0,0.0,8.0,8.0,0.0,1,5,0.0,0.0,5.0,5.0,0.0,1.0
yii-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1708.263,1708.263,0.0,,0.0,,,0.0,98.178,0.601,100.486,50.836,127.669,18,0.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,18.0,18.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
ueshin,train,Human,3.546,0.831,9.915,0.807,23.104,1.339,0.76,8.718,0.0,24.789,2.374,0.837,8.654,0.655,21.231,2.71,0.84,8.194,0.604,20.778,209,58.5,0.373,69.667,86.0,60.186,24.75,0.462,34.833,18.0,36.641,2.0,0.388,2.272,2.0,1.984,3,6,1.5,0.222,3.0,2.0,1.732,1.0
teabot,train,Human,96.395,0.581,63.71,43.717,74.954,0.0,0.666,5.429,0.0,28.182,76.658,0.669,58.278,24.434,82.497,96.682,0.611,60.102,37.075,74.055,31,0.0,0.387,1.824,1.0,2.038,4.5,0.442,4.429,3.0,3.994,0.0,0.117,1.148,1.0,0.456,16,7,0.0,0.182,1.294,1.0,0.588,0.941
ged-odoo,train,Human,2.012,0.869,52.592,0.892,148.58,1.901,0.785,22.343,0.005,61.388,0.504,0.957,6.357,0.127,44.779,0.401,0.957,4.524,0.123,36.884,155,2.0,0.748,31.0,3.0,63.738,18.0,0.426,22.143,18.0,18.694,4.5,0.792,15.5,2.0,38.63,2,7,1.0,0.4,2.2,1.0,2.168,0.4
galvesribeiro,train,Human,127.514,0.728,137.817,57.977,286.329,0.077,0.698,0.296,0.0,0.975,1.963,0.906,57.278,0.02,201.654,2.883,0.908,46.045,0.019,174.095,43,0.0,0.615,3.308,1.0,6.434,2.0,0.397,3.583,3.0,2.906,1.0,0.53,2.867,1.0,3.944,10,12,0.0,0.336,1.692,1.0,1.494,0.769
yast-bot,train,Bot,12.058,0.576,26.233,11.808,39.438,161.326,0.683,84.594,5.819,141.284,16.683,0.554,27.882,12.826,40.247,21.855,0.521,22.656,23.931,25.821,83,2.0,0.675,11.857,4.0,23.032,22.5,0.271,41.5,41.5,31.82,6.0,0.486,4.882,3.0,5.122,2,2,0.0,0.0,1.0,1.0,0.0,0.286
