contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
freightbot,train,Bot,,0.0,,,0.0,0.0,0.0,2049.72,2049.72,0.0,152.367,0.502,76.771,75.988,88.451,9.109,0.816,28.869,0.165,58.96,72,0.0,0.0,72.0,72.0,0.0,34.0,0.472,36.0,36.0,48.083,0.0,0.0,72.0,72.0,0.0,1,2,0.0,0.0,2.0,2.0,0.0,1.0
willkroboth,train,Human,75.142,0.756,62.382,0.628,106.801,99.504,0.592,93.136,0.258,171.86,70.087,0.715,49.036,12.903,79.353,26.37,0.789,35.248,0.969,69.515,61,5.5,0.609,8.714,3.0,13.263,2.5,0.629,5.545,2.0,8.583,3.5,0.582,4.357,2.0,6.652,4,11,2.0,0.357,2.857,2.0,2.116,0.571
juliacontrolbot,train,Bot,4.249,0.854,119.773,0.004,313.152,0.0,0.0,33.218,0.0,93.954,4.249,0.854,119.773,0.004,313.152,72.804,0.811,138.019,0.005,294.48,9,0.5,0.056,4.5,4.5,0.707,0.5,0.056,4.5,4.5,0.707,0.0,0.097,1.125,1.0,0.354,2,2,0.0,0.0,1.0,1.0,0.0,1.0
marcmcintosh,train,Human,63.479,0.757,58.599,1.979,107.49,5.657,0.724,53.927,0.016,143.629,0.608,0.925,4.606,0.174,25.184,0.629,0.91,3.724,0.258,21.059,227,55.25,0.73,56.75,2.0,110.168,23.75,0.616,22.7,12.5,32.0,2.5,0.831,28.375,1.5,73.83,2,10,2.0,0.429,3.5,2.0,3.697,0.5
mitk-bot,train,Bot,0.17,0.305,0.278,0.278,0.241,754.212,0.666,502.936,0.212,870.852,0.532,0.815,3.837,0.022,8.606,18.739,0.719,16.23,3.978,28.136,94,45.0,0.479,47.0,47.0,63.64,41.5,0.589,31.333,7.0,46.544,43.5,0.617,31.333,3.0,49.943,1,3,0.5,0.1,2.5,2.5,0.707,0.5
carsongee,train,Human,174.2,0.677,339.393,63.158,571.251,0.104,0.519,0.074,0.03,0.094,56.972,0.75,43.419,0.043,79.666,27.515,0.892,113.161,0.048,347.354,16,2.0,0.25,3.2,4.0,1.643,0.75,0.5,2.667,1.0,3.615,1.5,0.271,2.667,2.0,1.506,3,6,1.0,0.28,2.0,2.0,1.225,0.6
dcodeio,train,Human,61.918,0.614,44.791,6.761,70.132,11.63,0.451,7.593,4.692,9.835,12.746,0.753,22.935,4.748,45.892,5.16,0.835,13.729,1.184,35.764,13,2.5,0.256,4.333,4.0,2.517,1.0,0.372,2.167,1.5,1.941,2.25,0.365,3.25,2.5,2.63,3,6,1.0,0.167,2.667,2.0,1.155,1.0
miquelcabot,train,Human,3.383,0.85,23.098,0.007,52.614,0.005,0.804,7.332,0.0,29.861,22.589,0.789,25.294,0.633,46.912,1.394,0.901,10.126,0.137,32.45,164,0.0,0.673,3.644,1.0,11.606,17.25,0.654,27.333,7.0,44.455,1.0,0.59,2.982,1.0,5.905,10,6,0.0,0.19,1.289,1.0,0.661,0.222
mosen,train,Human,730.985,0.494,438.83,409.365,469.55,0.0,0.0,14.498,0.0,32.418,78.083,0.718,217.431,72.434,403.76,36.234,0.852,121.854,0.005,294.502,16,6.0,0.5,5.333,2.0,6.658,5.5,0.458,5.333,3.0,5.859,0.0,0.55,3.2,1.0,4.919,2,3,0.5,0.167,1.333,1.0,0.577,0.667
florentx,train,Human,0.213,0.908,7.728,0.001,23.629,0.0,0.758,0.233,0.0,1.471,0.71,0.901,8.908,0.128,27.335,0.283,0.924,5.915,0.015,20.614,176,6.5,0.274,16.0,13.0,8.752,38.0,0.595,35.2,14.0,46.489,0.0,0.236,1.344,1.0,1.264,3,5,1.0,0.182,1.727,2.0,0.647,0.273
