contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
openshift-merge-robot,train,Bot,161,3,81,22,0.272,1.988,1.0,1.585,0.361,1.0,53.667,74.0,46.004,0.352,42.5,1.11,1.0,0.427,0.092,0.0,1.099,1.0,0.3,0.081,0.0,0.01,0.0,0.07,0.788,0.0,0.195,0.025,0.4,0.789,0.127,0.184,0.023,0.386,0.796,0.125,0.497,0.254,0.552,0.573,0.651
wstgbot,train,Bot,14,3,3,2,0.667,4.667,6.0,2.309,0.19,2.0,4.667,6.0,3.215,0.286,3.0,1.077,1.0,0.277,0.066,0.0,1.333,1.0,0.577,0.167,0.5,0.0,0.0,0.0,0.0,0.0,131.532,0.001,333.893,0.844,83.777,121.415,0.001,321.753,0.856,78.743,121.415,0.001,321.753,0.856,78.743
nb-bot,train,Bot,12,2,2,1,0.5,6.0,6.0,5.657,0.333,4.0,6.0,6.0,7.071,0.417,5.0,6.0,6.0,5.657,0.333,4.0,1.5,1.5,0.707,0.167,0.5,239.43,239.43,338.6,0.5,239.427,0.004,0.004,0.0,0.0,0.0,43.533,0.117,94.929,0.816,25.32,154.592,154.592,218.62,0.5,154.588
thegiga,train,Bot,63,8,10,7,0.7,6.3,1.5,11.086,0.675,1.75,7.875,1.0,17.86,0.744,1.5,3.316,1.0,6.634,0.613,1.0,1.5,1.0,1.08,0.273,0.0,15.836,0.0,47.043,0.669,0.06,95.354,38.086,173.228,0.715,95.694,32.536,0.503,101.124,0.864,20.623,96.048,13.792,197.846,0.79,53.075
vizipi[bot],train,Bot,106,1,21,4,0.19,5.048,4.0,4.695,0.449,5.0,106.0,106.0,0.0,0.0,0.0,1.325,1.0,0.652,0.198,0.0,1.0,1.0,0.0,0.0,0.0,4.413,0.0,18.435,0.678,0.0,22.59,8.229,38.829,0.667,26.166,20.359,6.712,35.498,0.675,23.798,,,0.0,0.0,
amigrave,train,Human,8,4,3,2,0.667,2.667,1.0,2.887,0.417,2.5,2.0,1.5,1.414,0.312,1.5,2.667,1.0,2.887,0.417,2.5,1.667,1.0,1.155,0.267,1.0,6.249,0.0,10.823,0.0,9.373,244.83,244.83,342.874,0.495,242.448,72.63,2.373,182.924,0.84,8.551,84.707,2.377,197.303,0.814,11.165
johnpbloch-bot,train,Bot,300,2,3,1,0.333,100.0,148.0,85.75,0.333,75.0,150.0,150.0,209.304,0.493,148.0,1.261,1.0,0.44,0.153,1.0,1.333,1.0,0.577,0.167,0.5,2.308,0.0,6.242,0.577,0.185,2.683,0.0,6.338,0.813,1.364,3.963,0.002,7.551,0.756,3.015,0.676,0.676,0.033,0.017,0.024
wetrobot,train,Human,15,2,2,1,0.5,7.5,7.5,2.121,0.1,1.5,7.5,7.5,2.121,0.1,1.5,5.0,6.0,1.732,0.133,1.5,2.0,2.0,0.0,0.0,0.0,371.286,51.296,599.21,0.636,531.279,237.102,237.102,63.788,0.095,45.105,113.433,0.001,286.62,0.855,38.164,47.421,0.001,102.207,0.819,0.0
git2gus[bot],train,Bot,297,2,26,5,0.192,11.423,3.5,12.094,0.537,23.25,148.5,148.5,146.371,0.348,103.5,2.357,1.5,1.607,0.358,3.0,1.038,1.0,0.196,0.036,0.0,0.923,0.001,4.629,0.927,0.009,8.673,2.918,16.386,0.704,6.72,4.056,0.005,11.681,0.859,2.58,20.037,10.001,24.133,0.567,29.745
althonos,train,Human,287,13,42,20,0.476,6.833,2.0,9.7,0.632,8.0,22.077,5.0,54.984,0.756,13.0,2.315,1.0,3.061,0.473,1.0,1.786,1.0,1.159,0.31,1.0,2.764,0.0,12.416,0.848,0.092,10.445,0.777,24.329,0.828,5.855,5.691,0.24,17.851,0.885,1.476,7.14,0.291,21.165,0.878,1.883
yizhou7,train,Human,82,4,5,4,0.8,16.4,2.0,32.769,0.732,2.0,20.5,1.0,39.0,0.713,19.5,10.25,2.0,13.177,0.607,17.5,1.2,1.0,0.447,0.133,0.0,206.677,2.441,384.13,0.536,202.929,69.702,24.11,90.987,0.629,118.958,26.436,12.005,40.087,0.659,27.79,42.575,0.758,84.092,0.743,42.442
actonmassbot,train,Bot,59,1,1,1,1.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017.269,2017.269,0.0,0.0,0.0,,,0.0,0.0,,34.781,0.16,84.918,0.862,14.2,,,0.0,0.0,
davetaz,train,Human,186,11,22,5,0.227,8.455,3.0,18.444,0.682,4.75,16.909,7.0,23.27,0.589,18.5,4.537,2.0,7.047,0.565,3.0,2.136,1.5,1.457,0.339,2.0,5.266,0.044,16.828,0.864,0.556,40.321,3.059,71.565,0.76,43.896,9.885,0.045,37.468,0.928,0.575,13.471,0.017,45.761,0.92,0.513
p3x-robot,train,Human,113,6,15,10,0.667,7.533,1.0,11.698,0.663,9.5,18.833,8.0,26.731,0.588,12.25,1.43,1.0,1.021,0.257,0.0,1.6,1.0,1.298,0.311,0.0,1.514,0.0,9.363,0.881,0.0,23.742,0.02,98.632,0.917,0.932,17.603,0.024,83.037,0.932,0.187,33.466,0.099,118.733,0.901,1.426
